Barometer - mm Hg,Hum - %,Wind Speed - m/s,Rain - mm,Heat Index - °C,Temp - °C,Season,Day_Night,Wind_Dir_sin,Wind_Dir_cos,Wind_Direction
757.9,60.0,4.9,0.0,3.3357695763397,26.4,0,1,0.0,1.0,0.0
757.4,60.0,4.9,0.0,3.342861804649192,26.6,0,1,0.0,1.0,0.0
757.7,64.0,3.1,0.0,3.349904087274605,26.5,0,1,0.0,1.0,0.0
757.8,66.0,4.0,0.0,3.3105430133940246,25.6,0,1,0.0,1.0,0.0
758.1,64.0,3.6,0.0,3.299533727885655,25.3,0,1,0.0,1.0,0.0
758.5,74.0,2.7,0.0,3.3068867021909143,25.0,0,0,0.0,1.0,0.0
758.7,76.0,2.7,0.0,3.265759410767051,24.0,0,0,0.0,1.0,0.0
759.3,79.0,2.2,0.0,3.2733640101522705,24.0,0,0,0.0,1.0,0.0
759.3,71.0,3.1,0.0,3.269568939183719,24.2,0,0,0.0,1.0,0.0
759.7,75.0,3.1,0.0,3.2846635654062037,24.4,0,0,0.0,1.0,0.0
759.7,81.0,2.2,0.0,3.2809112157876537,24.1,0,0,0.0,1.0,0.0
759.3,74.0,3.6,0.0,3.265759410767051,24.0,0,0,0.0,1.0,0.0
758.4,72.0,3.6,0.0,3.2809112157876537,24.4,0,0,0.0,1.0,0.0
758.7,75.0,3.6,0.0,3.2733640101522705,24.2,0,0,0.0,1.0,0.0
758.6,75.0,4.0,0.0,3.261935314328648,23.9,0,0,0.0,1.0,0.0
759.1,77.0,4.5,0.0,3.269568939183719,24.0,0,0,0.0,1.0,0.0
759.0,76.0,4.9,0.0,3.265759410767051,24.0,0,1,0.0,1.0,0.0
759.7,77.0,4.5,0.0,3.2733640101522705,24.1,0,1,0.0,1.0,0.0
760.5,73.0,4.0,0.0,3.2733640101522705,24.3,0,1,0.0,1.0,0.0
761.0,72.0,4.5,0.0,3.292126286607793,24.8,0,1,0.0,1.0,0.0
761.3,82.0,4.0,0.5653138090500605,3.3214324131932926,24.9,0,1,0.0,1.0,0.0
760.5,73.0,4.5,0.0,3.288401887516811,24.6,0,1,0.0,1.0,0.0
760.0,72.0,5.4,0.0,3.3178157727231046,25.3,0,1,0.0,1.0,0.0
759.2,69.0,4.5,0.0,3.3463891451671604,26.2,0,1,0.0,1.0,0.0
758.5,66.0,4.5,0.0,3.353406717825807,26.5,0,1,0.0,1.0,0.0
757.7,63.0,4.5,0.0,3.3775875160230218,27.2,0,1,0.0,1.0,0.0
757.7,61.0,4.9,0.0,3.3638415951183864,27.0,0,1,0.0,1.0,0.0
758.2,63.0,4.9,0.0,3.353406717825807,26.6,0,1,0.0,1.0,0.0
759.0,66.0,4.0,0.0,3.3105430133940246,25.6,0,1,0.0,1.0,0.0
759.5,68.0,3.6,0.0,3.2733640101522705,24.6,0,0,0.0,1.0,0.0
760.1,69.0,4.0,0.0,3.269568939183719,24.4,0,0,0.0,1.0,0.0
760.5,70.0,3.6,0.0,3.261935314328648,24.1,0,0,0.0,1.0,0.0
760.6,69.0,4.5,0.0,3.254242968705492,24.0,0,0,0.0,1.0,0.0
760.5,71.0,4.0,0.0,3.242592351485517,23.7,0,0,0.0,1.0,0.0
760.2,71.0,3.6,0.0,3.2347491740244907,23.5,0,0,0.0,1.0,0.0
760.1,71.0,4.0,0.0,3.246490991901174,23.7,0,0,0.0,1.0,0.0
759.7,72.0,3.6,0.0,3.2268439945173775,23.3,0,0,0.0,1.0,0.0
759.5,73.0,3.1,0.0,3.2228678461377385,23.2,0,0,0.0,1.0,0.0
759.3,73.0,3.1,0.0,3.214867803470662,23.1,0,0,0.0,1.0,0.0
759.3,72.0,3.6,0.0,3.214867803470662,23.1,0,0,0.0,1.0,0.0
759.7,73.0,3.6,0.0,3.2108436531709366,23.0,0,1,0.0,1.0,0.0
760.1,75.0,2.2,0.0,3.1822118404966093,22.4,0,1,0.0,1.0,0.0
760.5,73.0,3.1,0.0,3.190476350346503,22.7,0,1,0.0,1.0,0.0
760.6,71.0,3.6,0.0,3.2347491740244907,23.5,0,1,0.0,1.0,0.0
